all Sensors: 0 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 2621 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.28
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 2621 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.22
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.22
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 13107 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.27
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.22
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -20972 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: 0 		 Accel: 0.00 -1.28
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: 2621 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.26
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: 23593 		 Accel: 0.00 -1.25
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.23
ESC: 0 Hall Sensors: -31457 		 Accel: 0.00 -1.24
ESC: 0 Hall Sensors: -10486 		 Accel: 0.00 -1.24
